"","act","position","t_iqr","t_mad","t_max","t_mcr","t_mean","t_min","t_rms","t_sttdev","t_variance"
"8187","Walking","Hand Fixed",2.50395491571285,1.4442526194687,14.0101274072105,0.1171875,9.69376766869569,6.27044374127376,9.85506052199369,1.77569318225552,3.15308627750872
"8188","Walking","Hand Fixed",1.85541228841957,1.12718498921362,13.0292458339068,0.1484375,9.66311456042585,6.06027950560068,9.763103090048,1.39369973056995,1.94239893899075
"8189","Walking","Hand Fixed",2.91509517413319,1.56980621493983,13.2457249006829,0.09375,9.69184060279213,6.23011961894757,9.87342240542762,1.88485960380875,3.55269572607006
"8190","Walking","Hand Fixed",2.17412430515121,1.21308078474553,12.6712052814979,0.0625,9.5530759324166,6.42441502990803,9.66549225606185,1.46985740174825,2.16048078147411
"8191","Walking","Hand Fixed",2.10831843287545,1.23845359281018,13.2057573524273,0.0859375,9.7070914616371,6.61029324096886,9.8232506340041,1.50619665843277,2.26862837387405
"8192","Walking","Hand Fixed",2.88256665740696,1.58127072247302,13.6698181781549,0.09375,9.76379958122001,6.01432851997118,9.93714353109495,1.84798249324777,3.41503929535024
"8193","Walking","Hand Fixed",3.26184951086243,1.79383742363049,14.181118163131,0.046875,10.6461482807247,6.11911123217878,10.853788016794,2.11287507873132,4.46424109832388
"8194","Walking","Hand Fixed",2.61509606916292,1.47687628953311,14.1557784458166,0.0625,10.6429048418767,6.32145279294837,10.8055178682932,1.86756336673239,3.48779292876081
"8195","Walking","Hand Fixed",1.65231643835614,0.952324364920365,12.3494309088165,0.1171875,9.89289901622196,6.74076145819779,9.96130314162654,1.16537948077578,1.35810933421322
"8196","Walking","Hand Fixed",1.26994012739024,0.731394284414417,12.0107914714255,0.0859375,9.88972830121282,8.12669340139608,9.93005930055966,0.894064785584141,0.799351840821616
"8197","Walking","Hand Fixed",1.59288071798446,0.828321933895977,12.6365330453532,0.0625,10.3320615205714,8.91567854119432,10.3799917503146,0.996360111468732,0.992733471725984
"8198","Walking","Hand Fixed",2.91368257260362,1.54427501522792,13.6304002515712,0.078125,9.99813815986352,6.02339890842487,10.1647309105729,1.83275416263004,3.35898782063773
"8199","Walking","Hand Fixed",3.02372226407632,1.82340173953966,16.1613963397373,0.0625,10.5059876331242,7.36396761818849,10.7408181386592,2.23369607162489,4.98939814039248
"8200","Walking","Hand Fixed",2.56928177614272,1.50943352230651,15.2188737552847,0.0546875,10.3553245744276,7.18001262001205,10.5184506520447,1.84527967467136,3.40505707775523
"8201","Walking","Hand Fixed",2.68587447360837,1.53792129225128,14.2779776381221,0.046875,10.1250737280577,6.78488173237298,10.2857661918981,1.81104062786861,3.27986815579072
"8202","Walking","Hand Fixed",1.65812728168211,0.987807073329699,12.9539548119428,0.0546875,9.89761090059279,7.65224599722088,9.97674262863705,1.25407014896713,1.57269193853043
"8203","Walking","Hand Fixed",2.57592577398445,1.48260745508405,13.8256284403678,0.078125,9.96792526330112,6.14436743705085,10.1269114858426,1.78740095874835,3.19480218733452
"8204","Walking","Hand Fixed",3.85103969847206,1.95375018186506,13.6571602240031,0.0703125,10.3355856116895,5.20175177917897,10.5841291127667,2.28023225552877,5.1994591391538
"8205","Walking","Hand Fixed",2.71269399221762,1.91852859325,15.5815650142394,0.078125,10.0656118083237,4.71381144342012,10.3689685178456,2.48977248924643,6.19896704820837
"8206","Walking","Hand Fixed",2.75403204405414,1.61670836701847,13.2994257420949,0.0703125,9.8344782313594,5.82967318605234,10.0233690029327,1.9367405830082,3.75096408587095
"8207","Walking","Hand Fixed",4.59119203955836,2.19911206669641,14.0959631611499,0.0625,9.73898642372333,5.24161610017008,10.0510984576776,2.48530151982858,6.17672364446225
"8208","Walking","Hand Fixed",3.37629935693879,1.73638727551946,14.119816195686,0.09375,9.61434259442032,5.32848678040908,9.84831146548427,2.13392952046317,4.55365519830418
"8209","Walking","Hand Fixed",3.53393183373758,1.75975133117687,13.2209154134755,0.0625,9.563138886013,6.02184674154945,9.76703040898223,1.98526009802485,3.94125765680964
"8210","Walking","Hand Fixed",3.61760832587554,1.77464396068742,13.5423084524619,0.0625,9.56214347694689,5.9623833870701,9.77279776767155,2.01816459539063,4.07298833408822
"8211","Walking","Hand Fixed",4.04283293764952,1.99301482574421,13.4003897838769,0.0625,9.65576152995878,5.63629281273066,9.91664405060646,2.25966778598013,5.10609850299632
"8212","Walking","Hand Fixed",2.432067385112,1.25201902257836,12.7523733351906,0.0859375,9.58027849807491,6.41781153440318,9.69472264893172,1.48523100527604,2.20591113903329
"8213","Walking","Hand Fixed",3.39973162681679,1.68771631685372,13.7996232112973,0.0625,9.55633077592087,5.57103607575162,9.75110344086629,1.93921644373748,3.76056041566185
"8214","Walking","Hand Fixed",3.23264713507282,1.7424806955257,13.3364848599055,0.09375,9.5123516189447,5.65962005825016,9.75583504501148,2.16598340322226,4.69148410303428
"8215","Walking","Hand Fixed",3.73048325372226,1.84384263688427,13.2414838222047,0.125,9.54359747403283,5.62238049688446,9.79083881830503,2.1863833194714,4.78027201966276
"8216","Walking","Hand Fixed",2.45712572993171,1.3050098786581,12.5976870654273,0.078125,9.63602604617477,6.17301928802094,9.75916668645962,1.54542435969688,2.38833645154451
"8217","Walking","Hand Fixed",3.18655621810756,1.53262404471261,12.7772498882192,0.0625,9.53216508551757,6.60841226923733,9.68893022731815,1.73585648377947,3.01319773227923
"8218","Walking","Hand Fixed",2.55524151532861,1.4711769575695,13.5115914908663,0.0625,9.50208438209886,5.44243359754349,9.68079203727774,1.8515201496319,3.42812686449293
"8219","Walking","Hand Fixed",3.23167712397278,1.57125251747215,13.1417632624685,0.0703125,9.55826920258711,6.13932297840444,9.72806200395623,1.80960774857191,3.27468020369149
"8220","Walking","Hand Fixed",2.85269168568902,1.5405904619095,13.7660702619339,0.0859375,9.71616653543031,5.89498518756795,9.8869354086947,1.82964467355967,3.34759963148526
"8221","Walking","Hand Fixed",2.33467112629975,1.17098705195755,12.5198139473339,0.0625,9.6269758249782,7.6174127234119,9.71763394676168,1.32429074924674,1.75374598854049
"8222","Walking","Hand Fixed",3.25234782255802,1.73752080066814,13.8271816251989,0.0625,9.5280340243211,5.75639795270735,9.74173449049523,2.02927536689429,4.11795851468397
"8223","Walking","Hand Fixed",2.95729477626007,1.76069929353601,13.5309404025031,0.09375,9.57241642360796,5.54624206481961,9.80444068464214,2.12035396849359,4.49590095170651
"8224","Walking","Hand Fixed",3.24141092398241,1.57611972946328,12.9398060742252,0.0625,9.50851010014427,5.99946493456347,9.6769191344527,1.79749815304246,3.23099961019105
"8225","Walking","Hand Fixed",2.26570690355149,1.16183770900761,12.6411094293255,0.10546875,9.66013260861681,6.33967612434611,9.76446134355436,1.42356710895749,2.0265433137056
"8226","Walking","Hand Fixed",3.33066772855868,1.62506635119573,13.2283498464388,0.0625,9.60038808972831,6.01472708712665,9.77905834388083,1.86078763420982,3.46253061962817
"8227","Walking","Hand Fixed",3.22338970205959,1.56920877232787,12.5512466156548,0.0625,9.65995245591159,6.06293397403197,9.82244267581772,1.77924103742376,3.16569866925276
"8228","Walking","Hand Swing",2.08035505424978,1.20696965441243,14.8991173062374,0.0625,11.3335149962414,9.11268474914759,11.4280579721705,1.46695154836862,2.15194684526108
"8229","Walking","Hand Swing",2.48537343831489,1.42319486935831,15.4045355716734,0.0390625,11.8837674611159,8.7084604254453,12.0083551401908,1.72530116300607,2.97666410307009
"8230","Walking","Hand Swing",2.49763839339242,1.45843913881051,15.8963967955618,0.0703125,11.0767922400412,7.30036638889761,11.2229507812594,1.80535257208474,3.25929790953299
"8231","Walking","Hand Swing",2.90398150171181,1.73756168893731,15.7609407500867,0.05859375,11.2397667302762,7.85874002642779,11.4309458668028,2.08186629223656,4.33416725875081
"8232","Walking","Hand Swing",2.8819574459562,1.593186827281,16.0919509996418,0.0546875,11.584124934128,8.72469137180753,11.7367830585329,1.88682963554711,3.56012607357882
"8233","Walking","Hand Swing",2.74691967309718,1.58821784335326,16.1957123591873,0.0625,11.2952724279351,7.77939569729373,11.4613421767274,1.94401267247965,3.77918527076147
